"fixed.acidity" "volatile.acidity" "citric.acid" "residual.sugar" "chlorides" "free.sulfur.dioxide" "total.sulfur.dioxide" "density" "pH" "sulphates" "alcohol" "quality" "colour"
"1435" 10.2 0.54 0.37 15.4 0.214 55 95 1.00369 3.18 0.77 9 6 "red"
"1464" 6.9 0.63 0.01 2.4 0.076 14 39 0.99522 3.34 0.53 10.8 6 "red"
"1471" 10 0.69 0.11 1.4 0.084 8 24 0.99578 2.88 0.47 9.7 5 "red"
"1472" 6.7 0.7 0.08 3.75 0.067 8 16 0.99334 3.43 0.52 12.6 5 "red"
"1475" 9.9 0.5 0.5 13.8 0.205 48 82 1.00242 3.16 0.75 8.8 5 "red"
"1484" 8.1 0.33 0.44 1.5 0.042 6 12 0.99542 3.35 0.61 10.7 5 "red"
"1485" 6.8 0.91 0.06 2 0.06 4 11 0.99592 3.53 0.64 10.9 4 "red"
"1489" 5.6 0.54 0.04 1.7 0.049 5 13 0.9942 3.72 0.58 11.4 5 "red"
"1511" 6.4 0.36 0.21 2.2 0.047 26 48 0.99661 3.47 0.77 9.7 6 "red"
"1516" 6.9 0.84 0.21 4.1 0.074 16 65 0.99842 3.53 0.72 9.25 6 "red"
"1517" 6.1 0.32 0.25 2.3 0.071 23 58 0.99633 3.42 0.97 10.6 5 "red"
"1521" 6.5 0.53 0.06 2 0.063 29 44 0.99489 3.38 0.83 10.3 6 "red"
"1531" 6.6 0.44 0.09 2.2 0.063 9 18 0.99444 3.42 0.69 11.3 6 "red"
"1538" 5.4 0.58 0.08 1.9 0.059 20 31 0.99484 3.5 0.64 10.2 6 "red"
"1540" 7.2 0.39 0.32 1.8 0.065 34 60 0.99714 3.46 0.78 9.9 5 "red"
"1541" 6.2 0.52 0.08 4.4 0.071 11 32 0.99646 3.56 0.63 11.6 6 "red"
"1542" 7.4 0.25 0.29 2.2 0.054 19 49 0.99666 3.4 0.76 10.9 7 "red"
"1543" 6.7 0.855 0.02 1.9 0.064 29 38 0.99472 3.3 0.56 10.75 6 "red"
"1544" 11.1 0.44 0.42 2.2 0.064 14 19 0.99758 3.25 0.57 10.4 6 "red"
"1545" 8.4 0.37 0.43 2.3 0.063 12 19 0.9955 3.17 0.81 11.2 7 "red"
"1553" 6.3 0.68 0.01 3.7 0.103 32 54 0.99586 3.51 0.66 11.3 6 "red"
"1577" 8 0.3 0.63 1.6 0.081 16 29 0.99588 3.3 0.78 10.8 6 "red"
"1580" 6.2 0.56 0.09 1.7 0.053 24 32 0.99402 3.54 0.6 11.3 5 "red"
"1584" 6.2 0.46 0.29 2.1 0.074 32 98 0.99578 3.33 0.62 9.8 5 "red"
"1586" 7.2 0.39 0.44 2.6 0.066 22 48 0.99494 3.3 0.84 11.5 6 "red"
"1593" 6.3 0.51 0.13 2.3 0.076 29 40 0.99574 3.42 0.75 11 6 "red"
"1600" 7 0.27 0.36 20.7 0.045 45 170 1.001 3 0.45 8.8 6 "white"
"1604" 7.2 0.23 0.32 8.5 0.058 47 186 0.9956 3.19 0.4 9.9 6 "white"
"1609" 8.1 0.22 0.43 1.5 0.044 28 129 0.9938 3.22 0.45 11 6 "white"
"1618" 7.4 0.34 0.42 1.1 0.033 17 171 0.9917 3.12 0.53 11.3 6 "white"
"1619" 6.5 0.31 0.14 7.5 0.044 34 133 0.9955 3.22 0.5 9.5 5 "white"
"1629" 7.2 0.32 0.36 2 0.033 37 114 0.9906 3.1 0.71 12.3 7 "white"
"1634" 5.8 0.27 0.2 14.95 0.044 22 179 0.9962 3.37 0.37 10.2 5 "white"
"1649" 6.9 0.19 0.35 5 0.067 32 150 0.995 3.36 0.48 9.8 5 "white"
"1654" 6.8 0.2 0.59 0.9 0.147 38 132 0.993 3.05 0.38 9.1 6 "white"
"1657" 6 0.19 0.26 12.4 0.048 50 147 0.9972 3.3 0.36 8.9 6 "white"
"1661" 6 0.19 0.26 12.4 0.048 50 147 0.9972 3.3 0.36 8.9 6 "white"
"1662" 7 0.47 0.07 1.1 0.035 17 151 0.991 3.02 0.34 10.5 5 "white"
"1666" 6.4 0.26 0.24 6.4 0.04 27 124 0.9903 3.22 0.49 12.6 7 "white"
"1668" 6.7 0.23 0.31 2.1 0.046 30 96 0.9926 3.33 0.64 10.7 8 "white"
"1671" 6.8 0.3 0.23 4.6 0.061 50.5 238.5 0.9958 3.32 0.6 9.5 5 "white"
"1674" 6.7 0.23 0.31 2.1 0.046 30 96 0.9926 3.33 0.64 10.7 8 "white"
"1694" 7.5 0.17 0.32 1.7 0.04 51 148 0.9916 3.21 0.44 11.5 7 "white"
"1695" 7.1 0.26 0.29 12.4 0.044 62 240 0.9969 3.04 0.42 9.2 6 "white"
"1697" 8.6 0.265 0.36 1.2 0.034 15 80 0.9913 2.95 0.36 11.4 7 "white"
"1700" 7.4 0.25 0.37 13.5 0.06 52 192 0.9975 3 0.44 9.1 5 "white"
"1701" 7.1 0.12 0.32 9.6 0.054 64 162 0.9962 3.4 0.41 9.4 5 "white"
"1702" 6 0.21 0.24 12.1 0.05 55 164 0.997 3.34 0.39 9.4 5 "white"
"1705" 7.3 0.13 0.32 14.4 0.051 34 109 0.9974 3.2 0.35 9.2 6 "white"
"1708" 7.1 0.23 0.35 16.5 0.04 60 171 0.999 3.16 0.59 9.1 6 "white"
"1714" 6.7 0.41 0.34 9.2 0.049 29 150 0.9968 3.22 0.51 9.1 5 "white"
"1727" 6.5 0.24 0.32 7.6 0.038 48 203 0.9958 3.45 0.54 9.7 7 "white"
"1731" 6.5 0.24 0.32 7.6 0.038 48 203 0.9958 3.45 0.54 9.7 7 "white"
"1738" 6.8 0.19 0.36 1.9 0.035 30 96 0.9917 3.15 0.54 10.8 7 "white"
"1740" 6.3 0.31 0.34 2.2 0.045 20 77 0.9927 3.3 0.43 10.2 5 "white"
"1743" 8.5 0.21 0.41 4.3 0.036 24 99 0.9947 3.18 0.53 9.7 6 "white"
"1747" 6.4 0.595 0.14 5.2 0.058 15 97 0.9951 3.38 0.36 9 4 "white"
"1751" 7.6 0.18 0.46 10.2 0.055 58 135 0.9968 3.14 0.43 9.9 6 "white"
"1756" 7.4 0.24 0.42 14 0.066 48 198 0.9979 2.89 0.42 8.9 6 "white"
"1758" 5.2 0.44 0.04 1.4 0.036 43 119 0.9894 3.36 0.33 12.1 8 "white"
"1764" 6.7 0.24 0.35 13.1 0.05 64 205 0.997 3.15 0.5 9.5 5 "white"
"1765" 7 0.23 0.36 13 0.051 72 177 0.9972 3.16 0.49 9.8 5 "white"
"1772" 7.6 0.48 0.37 0.8 0.037 4 100 0.9902 3.03 0.39 11.4 4 "white"
"1777" 5.9 0.23 0.3 12.9 0.054 57 170 0.9972 3.28 0.39 9.4 5 "white"
"1780" 6.4 0.33 0.31 5.5 0.048 42 173 0.9951 3.19 0.66 9.3 6 "white"
"1783" 6.9 0.27 0.4 14 0.05 64 227 0.9979 3.18 0.58 9.6 6 "white"
"1785" 6.8 0.29 0.56 11.9 0.043 66 230 0.9972 3.02 0.63 9.3 5 "white"
"1789" 6.5 0.28 0.28 8.5 0.047 54 210 0.9962 3.09 0.54 8.9 4 "white"
"1804" 5.8 0.28 0.35 2.3 0.053 36 114 0.9924 3.28 0.5 10.2 4 "white"
"1816" 7.5 0.27 0.36 7 0.036 45 164 0.9939 3.03 0.33 11 5 "white"
"1833" 7.2 0.23 0.38 14.3 0.058 55 194 0.9979 3.09 0.44 9 6 "white"
"1843" 6.8 0.24 0.34 2.7 0.047 64.5 218.5 0.9934 3.3 0.58 9.7 6 "white"
"1857" 6.3 0.35 0.3 5.7 0.035 8 97 0.9927 3.27 0.41 11 7 "white"
"1858" 6.4 0.23 0.39 1.8 0.032 23 118 0.9912 3.32 0.5 11.8 6 "white"
"1859" 5.8 0.36 0.38 0.9 0.037 3 75 0.9904 3.28 0.34 11.4 4 "white"
"1860" 6.9 0.115 0.35 5.4 0.048 36 108 0.9939 3.32 0.42 10.2 6 "white"
"1880" 7 0.24 0.36 2.8 0.034 22 112 0.99 3.19 0.38 12.6 8 "white"
"1881" 6.1 0.31 0.58 5 0.039 36 114 0.9909 3.3 0.6 12.3 8 "white"
"1885" 7.3 0.32 0.25 7.2 0.056 47 180 0.9961 3.08 0.47 8.8 5 "white"
"1887" 7.2 0.23 0.39 14.2 0.058 49 192 0.9979 2.98 0.48 9 7 "white"
"1888" 7.2 0.23 0.39 14.2 0.058 49 192 0.9979 2.98 0.48 9 7 "white"
"1910" 6.1 0.36 0.27 2.1 0.035 16 100 0.9917 3.4 0.71 11.5 7 "white"
"1913" 5.7 0.36 0.21 6.7 0.038 51 166 0.9941 3.29 0.63 10 6 "white"
"1917" 6.6 0.24 0.35 7.7 0.031 36 135 0.9938 3.19 0.37 10.5 5 "white"
"1924" 8.3 0.41 0.51 2 0.046 11 207 0.993 3.02 0.55 11.4 5 "white"
"1932" 6.3 0.23 0.3 1.8 0.033 16 91 0.9906 3.28 0.4 11.8 6 "white"
"1935" 6.3 0.23 0.3 1.8 0.033 16 91 0.9906 3.28 0.4 11.8 6 "white"
"1939" 6.6 0.18 0.35 1.5 0.049 49 141 0.9934 3.43 0.85 10.2 7 "white"
"1940" 7.4 0.2 0.43 7.8 0.045 27 153 0.9964 3.19 0.55 9 7 "white"
"1952" 5.5 0.335 0.3 2.5 0.071 27 128 0.9924 3.14 0.51 9.6 6 "white"
"1959" 6.9 0.24 0.34 4.7 0.04 43 161 0.9935 3.2 0.59 10.6 6 "white"
"1960" 6.4 0.24 0.32 14.9 0.047 54 162 0.9968 3.28 0.5 10.2 6 "white"
"1961" 7.1 0.365 0.14 1.2 0.055 24 84 0.9941 3.15 0.43 8.9 5 "white"
"1963" 7.3 0.22 0.37 14.3 0.063 48 191 0.9978 2.89 0.38 9 6 "white"
"1965" 6 0.26 0.32 3.5 0.028 29 113 0.9912 3.4 0.71 12.3 7 "white"
"1969" 7.1 0.39 0.35 12.5 0.044 26 72 0.9941 3.17 0.29 11.6 5 "white"
"1974" 5.1 0.33 0.22 1.6 0.027 18 89 0.9893 3.51 0.38 12.5 7 "white"
"1982" 7.5 0.35 0.28 9.6 0.051 26 157 0.9969 3.12 0.53 9.2 6 "white"
"1996" 8.2 0.28 0.42 1.8 0.031 30 93 0.9917 3.09 0.39 11.4 5 "white"
"2002" 6.1 0.35 0.07 1.4 0.069 22 108 0.9934 3.23 0.52 9.2 5 "white"
"2003" 7.1 0.27 0.31 18.2 0.046 55 252 1 3.07 0.56 8.7 5 "white"
"2020" 7 0.22 0.31 2.7 0.03 41 136 0.9898 3.16 0.37 12.7 7 "white"
"2023" 7 0.21 0.28 8.6 0.045 37 221 0.9954 3.25 0.54 10.4 6 "white"
"2025" 7 0.21 0.28 8.7 0.045 37 222 0.9954 3.25 0.54 10.4 6 "white"
"2028" 7.8 0.21 0.27 1.2 0.051 20 89 0.9936 3.06 0.46 9.1 5 "white"
"2033" 7.2 0.55 0.09 1.5 0.108 16 151 0.9938 3.07 0.57 9.2 4 "white"
"2037" 6.6 0.16 0.32 1.4 0.035 49 186 0.9906 3.35 0.64 12.4 8 "white"
"2042" 6 0.25 0.28 2.2 0.026 54 126 0.9898 3.43 0.65 12.9 8 "white"
"2043" 6.6 0.52 0.44 12.2 0.048 54 245 0.9975 3.26 0.54 9.3 6 "white"
"2056" 6.3 0.23 0.31 1.5 0.022 11 82 0.9892 3.3 0.4 12.9 7 "white"
"2059" 6.1 0.43 0.35 9.1 0.059 83 249 0.9971 3.37 0.5 8.5 5 "white"
"2086" 6 0.16 0.37 1.5 0.025 43 117 0.9928 3.46 0.51 9.7 6 "white"
"2087" 6.6 0.34 0.28 1.3 0.035 32 90 0.9916 3.1 0.42 10.7 6 "white"
"2088" 7.4 0.29 0.29 1.6 0.045 53 180 0.9936 3.34 0.68 10.5 6 "white"
"2089" 7.4 0.26 0.31 7.6 0.047 52 177 0.9962 3.13 0.45 8.9 6 "white"
"2092" 7.8 0.19 0.26 8.9 0.039 42 182 0.996 3.18 0.46 9.9 6 "white"
"2093" 6.3 0.19 0.28 1.8 0.022 28 158 0.9907 3.2 0.64 11.4 6 "white"
"2094" 6.8 0.2 0.38 4.7 0.04 27 103 0.994 3.37 0.58 10.7 6 "white"
"2098" 5.7 0.335 0.34 1 0.04 13 174 0.992 3.27 0.66 10 5 "white"
"2102" 6.4 0.3 0.3 2.25 0.038 8 210 0.9937 3.2 0.62 9.9 6 "white"
"2115" 6.1 0.31 0.26 2.2 0.051 28 167 0.9926 3.37 0.47 10.4 6 "white"
"2119" 7.2 0.34 0.34 12.6 0.048 7 41 0.9942 3.19 0.4 11.7 5 "white"
"2121" 7.9 0.19 0.26 2.1 0.039 8 143 0.9942 3.05 0.74 9.8 5 "white"
"2131" 6.4 0.18 0.48 4 0.186 64 150 0.9945 3.06 0.4 9.3 5 "white"
"2134" 7.4 0.25 0.36 13.2 0.067 53 178 0.9976 3.01 0.48 9 6 "white"
"2138" 6.1 0.24 0.3 1.5 0.045 22 61 0.992 3.31 0.54 10.4 5 "white"
"2140" 6.7 0.31 0.31 9.9 0.04 10 175 0.9953 3.46 0.55 11.4 4 "white"
"2142" 5.5 0.35 0.35 1.1 0.045 14 167 0.992 3.34 0.68 9.9 6 "white"
"2147" 7.7 0.22 0.42 1.9 0.052 10 87 0.9922 3.3 0.49 11.8 6 "white"
"2148" 6.5 0.18 0.31 1.7 0.044 30 127 0.9928 3.49 0.5 10.2 7 "white"
"2149" 7.2 0.46 0.65 10.4 0.05 76 192 0.9976 3.16 0.42 8.7 5 "white"
"2158" 5.9 0.21 0.24 12.1 0.044 53 165 0.9969 3.25 0.39 9.5 5 "white"
"2162" 7.7 0.34 0.27 8.8 0.063 39 184 0.9969 3.09 0.63 9.2 6 "white"
"2164" 6.8 0.51 0.3 4.2 0.066 38 165 0.9945 3.2 0.42 9.1 5 "white"
"2167" 6 0.26 0.5 2.2 0.048 59 153 0.9928 3.08 0.61 9.8 5 "white"
"2174" 7.4 0.2 0.33 1.9 0.035 39 138 0.991 3.17 0.44 11.7 7 "white"
"2195" 6.3 0.27 0.38 0.9 0.051 7 140 0.9926 3.45 0.5 10.5 7 "white"
"2197" 7 0.29 0.37 4.9 0.034 26 127 0.9928 3.17 0.44 10.8 6 "white"
"2198" 5.9 0.27 0.29 11.4 0.036 31 115 0.9949 3.35 0.48 10.5 8 "white"
"2200" 6.7 0.3 0.35 1.4 0.18 36 160 0.9937 3.11 0.54 9.4 6 "white"
"2201" 7.2 0.24 0.4 1.4 0.045 31 106 0.9914 2.88 0.38 10.8 6 "white"
"2202" 6.4 0.45 0.07 1.1 0.03 10 131 0.9905 2.97 0.28 10.8 5 "white"
"2209" 7.4 0.37 0.35 5.7 0.061 12 94 0.9965 3.48 0.69 10.7 6 "white"
"2214" 7.5 0.21 0.68 10.9 0.045 38 133 0.9978 3 0.36 8.7 5 "white"
"2217" 7.8 0.26 0.27 1.9 0.051 52 195 0.9928 3.23 0.5 10.9 6 "white"
"2218" 7.7 0.24 0.27 1.8 0.051 52 190 0.9928 3.23 0.5 10.8 6 "white"
"2225" 6.2 0.24 0.29 13.3 0.039 49 130 0.9952 3.33 0.46 11 8 "white"
"2229" 5.8 0.31 0.33 1.2 0.036 23 99 0.9916 3.18 0.6 10.5 6 "white"
"2233" 6 0.29 0.2 12.6 0.045 45 187 0.9972 3.33 0.42 9.5 5 "white"
"2243" 6.4 0.24 0.28 11.5 0.05 34 163 0.9969 3.31 0.45 9.5 5 "white"
"2250" 7.1 0.26 0.34 14.4 0.067 35 189 0.9986 3.07 0.53 9.1 7 "white"
"2265" 7.8 0.28 0.22 1.4 0.056 24 130 0.9944 3.28 0.48 9.5 5 "white"
"2268" 6.1 0.14 0.25 1.3 0.047 37 173 0.9925 3.35 0.46 10 6 "white"
"2275" 6.1 0.28 0.25 6.9 0.056 44 201 0.9955 3.19 0.4 9.1 6 "white"
"2282" 5.9 0.25 0.25 11.3 0.052 30 165 0.997 3.24 0.44 9.5 6 "white"
"2285" 6.2 0.36 0.26 13.2 0.051 54 201 0.9976 3.25 0.46 9 5 "white"
"2293" 5.9 0.37 0.14 6.3 0.036 34 185 0.9944 3.17 0.63 9.8 5 "white"
"2294" 7.6 0.29 0.58 17.5 0.041 51 225 0.9997 3.16 0.66 9.5 6 "white"
"2295" 6.3 0.34 0.28 14.7 0.047 49 198 0.9977 3.23 0.46 9.5 5 "white"
"2308" 7.7 0.2 0.44 13.9 0.05 44 130 0.99855 3.11 0.48 10 6 "white"
"2314" 6 0.39 0.26 2.7 0.038 39 187 0.99325 3.41 0.5 10.8 6 "white"
"2315" 6.2 0.21 0.27 1.7 0.038 41 150 0.9933 3.49 0.71 10.5 7 "white"
"2316" 7.7 0.42 0.31 9.2 0.048 22 221 0.9969 3.06 0.61 9.2 6 "white"
"2325" 6.4 0.39 0.21 1.2 0.041 35 136 0.99225 3.15 0.46 10.2 5 "white"
"2330" 6.5 0.23 0.33 13.8 0.042 25 139 0.99695 3.35 0.56 10.4 6 "white"
"2332" 8.8 0.28 0.45 6 0.022 14 49 0.9934 3.01 0.33 11.1 7 "white"
"2333" 6.6 0.25 0.3 14.4 0.052 40 183 0.998 3.02 0.5 9.1 6 "white"
"2334" 6.9 0.38 0.25 9.8 0.04 28 191 0.9971 3.28 0.61 9.2 5 "white"
"2343" 5.9 0.26 0.25 12.5 0.034 38 152 0.9977 3.33 0.43 9.4 5 "white"
"2344" 7.4 0.38 0.27 7.5 0.041 24 160 0.99535 3.17 0.43 10 5 "white"
"2347" 7.2 0.29 0.4 7.6 0.024 56 177 0.9928 3.04 0.32 11.5 6 "white"
"2349" 7.3 0.3 0.42 7.35 0.025 51 175 0.9928 3.04 0.32 11.4 6 "white"
"2352" 6.7 0.2 0.42 14 0.038 83 160 0.9987 3.16 0.5 9.4 6 "white"
"2355" 7.1 0.28 0.44 1.8 0.032 32 107 0.9907 3.25 0.48 12.2 7 "white"
"2362" 6.8 0.24 0.49 19.3 0.057 55 247 1.00055 3 0.56 8.7 5 "white"
"2369" 6.7 0.11 0.34 8.8 0.043 41 113 0.9962 3.42 0.4 9.3 7 "white"
"2370" 6.8 0.12 0.31 5.2 0.045 29 120 0.9942 3.41 0.46 9.8 7 "white"
"2385" 7.6 0.3 0.27 10.6 0.039 31 119 0.99815 3.27 0.3 9.3 6 "white"
"2388" 5.8 0.34 0.16 7 0.037 26 116 0.9949 3.46 0.45 10 7 "white"
"2390" 7.7 0.34 0.28 11 0.04 31 117 0.99815 3.27 0.29 9.2 6 "white"
"2392" 6.4 0.46 0.08 4.9 0.046 34 144 0.99445 3.1 0.56 10 5 "white"
"2393" 5.9 0.24 0.3 2 0.033 28 92 0.99225 3.39 0.69 10.9 7 "white"
"2428" 7.1 0.16 0.36 10.7 0.044 20 90 0.9959 3.16 0.44 10.9 7 "white"
"2429" 7.1 0.16 0.36 1.2 0.043 21 90 0.9925 3.16 0.42 11 7 "white"
"2430" 7.3 0.205 0.31 1.7 0.06 34 110 0.9963 3.72 0.69 10.5 6 "white"
"2435" 7.5 0.42 0.34 4.3 0.04 34 108 0.99155 3.14 0.45 12.8 8 "white"
"2436" 7.3 0.25 0.36 2.1 0.034 30 177 0.99085 3.25 0.4 11.9 8 "white"
"2441" 8.7 0.23 0.32 13.4 0.044 35 169 0.99975 3.12 0.47 8.8 7 "white"
"2448" 8.7 0.23 0.32 13.4 0.044 35 169 0.99975 3.12 0.47 8.8 7 "white"
"2449" 6 0.2 0.24 1.8 0.03 30 105 0.9909 3.31 0.47 11.5 6 "white"
"2467" 7.8 0.18 0.46 12.6 0.042 41 143 1 3.24 0.76 8.5 8 "white"
"2470" 6 0.45 0.65 9.7 0.08 11 159 0.9956 3.04 0.48 9.4 5 "white"
"2471" 7.7 0.34 0.58 11.1 0.039 41 151 0.9978 3.06 0.49 8.6 5 "white"
"2472" 6.3 0.26 0.21 4 0.03 24 125 0.9915 3.06 0.34 10.7 6 "white"
"2473" 10.3 0.17 0.47 1.4 0.037 5 33 0.9939 2.89 0.28 9.6 3 "white"
"2477" 6 0.28 0.34 1.6 0.119 33 104 0.9921 3.19 0.38 10.2 6 "white"
"2480" 7.1 0.21 0.32 2.2 0.037 28 141 0.993 3.2 0.57 10 7 "white"
"2483" 7.4 0.26 0.43 6 0.022 22 125 0.9928 3.13 0.55 11.5 6 "white"
"2492" 5.9 0.26 0.3 1 0.036 38 114 0.9928 3.58 0.48 9.4 5 "white"
"2494" 5.8 0.26 0.18 1.2 0.031 40 114 0.9908 3.42 0.4 11 7 "white"
"2496" 6.8 0.18 0.28 8.7 0.047 52 242 0.9952 3.22 0.53 10.5 6 "white"
"2499" 6.8 0.18 0.28 8.5 0.047 52 242 0.9952 3.22 0.53 10.5 6 "white"
"2503" 5.9 0.31 0.3 7.7 0.047 60 206 0.995 3.2 0.39 9.6 6 "white"
"2509" 7.5 0.24 0.31 13 0.049 46 217 0.9985 3.08 0.53 8.8 5 "white"
"2518" 7 0.24 0.34 1.4 0.031 27 107 0.99 3.06 0.39 11.9 6 "white"
"2523" 6.5 0.26 0.27 12.9 0.044 69 215 0.9967 3.17 0.43 10 6 "white"
"2524" 7.9 0.28 0.41 2 0.044 50 152 0.9934 3.45 0.49 10.7 8 "white"
"2525" 6.3 0.27 0.23 2.9 0.047 13 100 0.9936 3.28 0.43 9.8 5 "white"
"2527" 6.7 0.25 0.33 2.9 0.057 52 173 0.9934 3.02 0.48 9.5 7 "white"
"2533" 5.9 0.29 0.33 7.4 0.037 58 205 0.99495 3.26 0.41 9.6 5 "white"
"2535" 6.1 0.27 0.44 6.7 0.041 61 230 0.99505 3.12 0.4 8.9 5 "white"
"2536" 6.4 0.43 0.32 1.4 0.048 10 67 0.992 3.08 0.41 11.4 5 "white"
"2537" 6.1 0.36 0.58 15 0.044 42 115 0.9978 3.15 0.51 9 5 "white"
"2540" 6.2 0.34 0.28 7.5 0.034 40 197 0.99485 3.14 0.6 9.7 5 "white"
"2543" 6.9 0.48 0.36 3.5 0.03 31 135 0.9904 3.14 0.38 12.2 7 "white"
"2545" 6.7 0.15 0.29 5 0.058 28 105 0.9946 3.52 0.44 10.2 7 "white"
"2549" 7.3 0.25 0.39 6.4 0.034 8 84 0.9942 3.18 0.46 11.5 5 "white"
"2558" 6.6 0.2 0.32 1.1 0.039 25 78 0.9926 3.39 0.54 10.2 7 "white"
"2564" 5.9 0.26 0.21 12.5 0.034 36 152 0.9972 3.28 0.43 9.5 6 "white"
"2575" 7.6 0.3 0.25 4.3 0.054 22 111 0.9956 3.12 0.49 9.2 5 "white"
"2576" 6.6 0.13 0.3 4.9 0.058 47 131 0.9946 3.51 0.45 10.3 6 "white"
"2577" 6.5 0.14 0.33 7.6 0.05 53 189 0.9966 3.25 0.49 8.6 5 "white"
"2588" 6.9 0.19 0.33 1.6 0.043 63 149 0.9925 3.44 0.52 10.8 5 "white"
"2591" 8.2 0.26 0.44 1.3 0.046 7 69 0.9944 3.14 0.62 10.2 4 "white"
"2595" 7.8 0.27 0.34 1.6 0.046 27 154 0.9927 3.05 0.45 10.5 6 "white"
"2604" 5.8 0.36 0.26 3.3 0.038 40 153 0.9911 3.34 0.55 11.3 6 "white"
"2610" 7.6 0.16 0.44 1.4 0.043 25 109 0.9932 3.11 0.75 10.3 6 "white"
"2617" 7.6 0.16 0.44 1.4 0.043 25 109 0.9932 3.11 0.75 10.3 6 "white"
"2623" 7.6 0.19 0.38 10.6 0.06 48 174 0.9962 3.13 0.38 10.5 6 "white"
"2631" 6.2 0.34 0.29 7.6 0.047 45 232 0.9955 3.35 0.62 10 6 "white"
"2632" 7.1 0.3 0.36 6.8 0.055 44.5 234 0.9972 3.49 0.64 10.2 6 "white"
"2635" 8.8 0.17 0.38 1.8 0.04 39 148 0.9942 3.16 0.67 10.2 6 "white"
"2641" 7.7 0.275 0.3 1 0.039 19 75 0.992 3.01 0.56 10.7 5 "white"
"2642" 7.3 0.49 0.32 5.2 0.043 18 104 0.9952 3.24 0.45 10.7 4 "white"
"2643" 7.5 0.33 0.48 19.45 0.048 55 243 1.001 2.95 0.4 8.8 5 "white"
"2647" 7 0.31 0.52 1.7 0.029 5 61 0.9918 3.07 0.43 10.4 5 "white"
"2651" 6.9 0.21 0.81 1.1 0.137 52 123 0.9932 3.03 0.39 9.2 6 "white"
"2652" 7.6 0.29 0.42 1.3 0.035 18 86 0.9908 2.99 0.39 11.3 5 "white"
"2654" 7 0.31 0.52 1.7 0.029 5 61 0.9918 3.07 0.43 10.4 5 "white"
"2660" 8 0.26 0.36 2 0.054 30 121 0.992 3.09 0.72 11.6 7 "white"
"2666" 6.4 0.3 0.51 5.5 0.048 62 172 0.9942 3.08 0.45 9.1 6 "white"
"2668" 8.8 0.33 0.44 6.35 0.024 9 87 0.9917 2.96 0.4 12.6 7 "white"
"2669" 6.9 0.2 0.36 1.5 0.031 38 147 0.9931 3.35 0.56 11 6 "white"
"2670" 8 0.37 0.32 1.6 0.04 32 166 0.992 3 0.55 11.3 7 "white"
"2671" 8.3 0.22 0.38 14.8 0.054 32 126 1.0002 3.22 0.5 9.7 5 "white"
"2674" 6.2 0.55 0.45 12 0.049 27 186 0.9974 3.17 0.5 9.3 6 "white"
"2680" 6.8 0.15 0.33 4.7 0.059 31 118 0.9956 3.43 0.39 9 7 "white"
"2686" 5.2 0.24 0.45 3.8 0.027 21 128 0.992 3.55 0.49 11.2 8 "white"
"2705" 5.5 0.32 0.45 4.9 0.028 25 191 0.9922 3.51 0.49 11.5 7 "white"
"2708" 6.1 0.29 0.27 1.7 0.024 13 76 0.9893 3.21 0.51 12.6 7 "white"
"2717" 8.1 0.45 0.34 8.3 0.037 33 216 0.9976 3.31 0.64 9.7 5 "white"
"2722" 6.6 0.25 0.39 1.45 0.04 40 89 0.9911 3.35 0.4 11.4 7 "white"
"2723" 9.8 0.36 0.45 1.6 0.042 11 124 0.9944 2.93 0.46 10.8 5 "white"
"2727" 6.4 0.125 0.29 5.85 0.042 24 99 0.992 3.23 0.32 12 7 "white"
"2729" 7.9 0.25 0.29 5.3 0.031 33 117 0.9918 3.06 0.32 11.8 7 "white"
"2731" 6.9 0.23 0.34 4 0.047 24 128 0.9944 3.2 0.52 9.7 6 "white"
"2734" 7.4 0.41 0.34 4.7 0.042 19 127 0.9953 3.25 0.42 10.4 5 "white"
"2738" 9.2 0.28 0.46 3.2 0.058 39 133 0.996 3.14 0.58 9.5 5 "white"
"2740" 8.5 0.16 0.33 1 0.076 17 57 0.9921 3.14 0.46 10.6 6 "white"
"2746" 9.1 0.27 0.32 1.1 0.031 15 151 0.9936 3.03 0.41 10.6 5 "white"
"2750" 6.9 0.32 0.17 7.6 0.042 69 219 0.9959 3.13 0.4 8.9 5 "white"
"2760" 7.5 0.14 0.34 1.3 0.055 50 153 0.9945 3.29 0.8 9.6 6 "white"
"2769" 7.5 0.14 0.34 1.3 0.055 50 153 0.9945 3.29 0.8 9.6 6 "white"
"2770" 7.7 0.25 0.43 4.5 0.062 20 115 0.9966 3.38 0.5 9.9 6 "white"
"2776" 6.3 0.32 0.35 11.1 0.039 29 198 0.9984 3.36 0.5 9.4 7 "white"
"2779" 7.2 0.2 0.25 4.5 0.044 31 109 0.9949 3.23 0.36 9.4 5 "white"
"2780" 8.2 0.61 0.45 5.4 0.03 15 118 0.9954 3.14 0.34 9.6 5 "white"
"2783" 6.4 0.26 0.3 2.2 0.025 33 134 0.992 3.21 0.47 10.6 6 "white"
"2799" 7.4 0.25 0.37 6.9 0.02 14 93 0.9939 3 0.48 10.7 7 "white"
"2810" 9.2 0.28 0.41 1 0.042 14 59 0.9922 2.96 0.25 10.5 6 "white"
"2816" 8.2 0.37 0.36 1 0.034 17 93 0.9906 3.04 0.32 11.7 8 "white"
